country,period,year,population,attendances_type1,breaches_4hr_type1,waits_12hr,pct_4hr_type1,attendances_per_100k,breaches_4hr_per_100k,waits_12hr_per_100k
England,2022-01-01,2022,57144395,1247417.0,410646.0,16564.0,67.08029472101148,2182.9210021385297,718.6111603771463,28.986219908356716
England,2022-02-01,2022,57144395,1205820.0,412179.0,16402.0,65.81753495546599,2110.1282111745168,721.29383817958,28.702727537845135
England,2022-03-01,2022,57144395,1421526.0,514135.0,22506.0,63.83217753315803,2487.6035523693968,899.7120364998177,39.384440066256715
England,2022-04-01,2022,57144395,1312380.0,472636.0,24179.0,63.98634541824777,2296.6031926665773,827.090740920435,42.312111275305305
England,2022-05-01,2022,57144395,1437421.0,503222.0,19657.0,64.99132821908125,2515.419053784715,880.6148004541828,34.39882424164259
England,2022-06-01,2022,57144395,1400664.0,506218.0,22017.0,63.85871272482194,2451.0960348779613,885.8576593557425,38.5287130960088
England,2022-07-01,2022,57144395,1397083.0,524161.0,29139.0,62.48175663149576,2444.829453527332,917.2570643192565,50.991877681091914
England,2022-08-01,2022,57144395,1299083.0,477571.0,28689.0,63.23783776710188,2273.334068896871,835.7267585036118,50.204398874115306
England,2022-09-01,2022,57144395,1301611.0,492015.0,32749.0,62.1995358060127,2277.757949839175,861.0030782546565,57.30920766594869
England,2022-10-01,2022,57144395,1399185.0,554148.0,43783.0,60.39494419965909,2448.507854532365,969.7329020632733,76.6181880130151
England,2022-11-01,2022,57144395,1395183.0,555656.0,37853.0,60.17325325781635,2441.5045430089863,972.371831043097,66.24096728996781
England,2022-12-01,2022,57144395,1437681.0,633276.0,54573.0,55.95156366398387,2515.874041539857,1108.2031754820398,95.50017985140975
England,2023-01-01,2023,57932470,1243898.0,457163.0,42728.0,63.24754923635217,2147.1516750451,789.1308621917899,73.75483903931595
England,2023-02-01,2023,57932470,1206386.0,455902.0,34975.0,62.209276301283346,2082.4004224228656,786.9541899387337,60.372015900582184
England,2023-03-01,2023,57932470,1372403.0,517815.0,39687.0,62.269464581467695,2368.9702855756022,893.8251726536085,68.50562387552266
England,2023-04-01,2023,57932470,1271145.0,434469.0,26492.0,65.82065775344277,2194.1840214995145,749.9576662275922,45.72910493890559
England,2023-05-01,2023,57932470,1400815.0,485602.0,31498.0,65.33432323326063,2418.0135941036174,838.2207767077772,54.370200338428525
England,2023-06-01,2023,57932470,1389009.0,553299.0,26488.0,60.16591685151068,2397.6346943259973,955.0757977348454,45.722200348094944
England,2023-07-01,2023,57932470,1379854.0,539374.0,23396.0,60.91079201132874,2381.831812108132,931.0391909752856,40.384951651465926
England,2023-08-01,2023,57932470,1323647.0,541452.0,27710.0,59.093927610609164,2284.810228184643,934.6261259014159,47.83155284074717
England,2023-09-01,2023,57932470,1369045.0,579854.0,32228.0,57.64536593026526,2363.1738815900653,1000.9136499790187,55.63028816137133
England,2023-10-01,2023,57932470,1413597.0,623856.0,43534.0,55.86747849634656,2440.0772140390354,1076.8676011915254,75.14611408766103
England,2023-11-01,2023,57932470,1386008.0,618552.0,42503.0,55.371686166313616,2392.4545250703104,1067.7121137766092,73.36645580621713
England,2023-12-01,2023,57932470,1384220.0,627378.0,43858.0,54.6764242678187,2389.368172977952,1082.9470934002986,75.70538594332332
England,2024-01-01,2024,58620101,1397975.0,622977.0,54312.0,55.43718592964824,2384.8048300019136,1062.736142334521,92.65081273060242
England,2024-02-01,2024,58620101,1347642.0,586821.0,44420.0,56.455720436139565,2298.941791314894,1001.0576406205782,75.77605504296214
England,2024-03-01,2024,58620101,1462878.0,571987.0,42972.0,60.899883654002586,2495.5228241589007,975.7523276870506,73.30591259131403
England,2024-04-01,2024,58620101,1372028.0,542955.0,42078.0,60.42682802391788,2340.54185611178,926.2266538912992,71.78083845334896
England,2024-05-01,2024,58620101,1472721.0,593795.0,42555.0,59.68041468818601,2512.3139927718653,1012.9545836162924,72.59455250682697
England,2024-06-01,2024,58620101,1405658.0,555053.0,38106.0,60.512941270209396,2397.9112557312037,946.8646258388399,65.00500570614848
England,2024-07-01,2024,58620101,1425569.0,550900.0,36806.0,61.35578144586478,2431.8774203408484,939.7800252851832,62.78733637801136
England,2024-08-01,2024,58620101,1320157.0,494499.0,28494.0,62.54240972853986,2252.055144019626,843.5655885342128,48.60789987379926
England,2024-09-01,2024,58620101,1364482.0,548522.0,38880.0,59.79998270405913,2327.6691386116854,935.7233963141755,66.32537190613165
England,2024-10-01,2024,58620101,1453242.0,609113.0,49616.0,58.0859209959525,2479.084776738955,1039.0855518996802,84.63990875757789
England,2024-11-01,2024,58620101,1428050.0,614322.0,45791.0,56.98175834179475,2436.109756958624,1047.9715823075774,78.11484323440521
England,2024-12-01,2024,58620101,1440311.0,643382.0,54207.0,55.33034184978105,2457.025790521923,1097.545021288858,92.47169328486828
England,2025-01-01,2025,58829244,1359026.0,574638.0,61529.0,57.71692373803003,2310.1197764839544,976.7897068335606,104.58913937428807
England,2025-02-01,2025,58829244,1271336.0,529502.0,47623.0,58.35074284060233,2161.0612572209834,900.0659603920798,80.95123574934942
England,2025-03-01,2025,58829244,1450686.0,566995.0,46766.0,60.91538761661723,2465.926640158762,963.7978689646259,79.49447727052213
England,2025-04-01,2025,58829244,1388613.0,552458.0,44648.0,60.21512113166159,2360.412790618217,939.0873695402239,75.89422702763272
England,2025-05-01,2025,58829244,1453480.0,563803.0,42891.0,61.21013017034977,2470.6759787700144,958.371996077325,72.90761717080709
England,2025-06-01,2025,58829244,1428563.0,546871.0,38683.0,61.71880414094444,2428.3211934526985,929.590392152583,65.75471206123268
England,2025-07-01,2025,58829244,1469050.0,542160.0,35467.0,63.09451686464042,2497.1424076093854,921.5824701061943,60.288043137185305
England,2025-08-01,2025,58829244,1383870.0,525542.0,35909.0,62.023745004949895,2352.3504738561655,893.3346143288873,61.03937014726894
England,2025-09-01,2025,58829244,1417440.0,551664.0,44765.0,61.080257365391134,2409.4139302555036,937.7377006578565,76.0931077067725
England,2025-10-01,2025,58829244,1481222.0,590612.0,54326.0,60.12670619258963,2517.832797579381,1003.9428689581664,92.34522884570809
England,2025-11-01,2025,58829244,1450144.0,575050.0,50648.0,60.34531743054483,2465.005329662234,977.4900387977108,86.09323621428825
England,2025-12-01,2025,58829244,1438207.0,580693.0,50789.0,59.62382327439653,2444.714400885383,987.0822069377604,86.33291293017466
England,2026-01-01,2026,58951205,1434757.0,612375.0,71517.0,57.31855638271847,2433.8043641347112,1038.7828374330938,121.31558633958373
England,2026-02-01,2026,58951205,1298005.0,527236.0,54649.0,59.381050150037936,2201.829462179781,894.3600050244945,92.7020915009286
England,2026-03-01,2026,58951205,1478144.0,530779.0,46665.0,64.09152288275027,2507.402520440422,900.3700602896921,79.15868725668966
England,2026-04-01,2026,58951205,1430825.0,517598.0,47750.0,63.82520573794839,2427.1344411026034,878.0108905322631,80.99919246773666
Scotland,2019-04-01,2019,5411200,119799.0,14137.0,296.0,88.19940066277681,2213.90819041987,261.2544352454169,5.470136014192786
Scotland,2019-05-01,2019,5411200,123973.0,13499.0,189.0,89.11133875924597,2291.044500295683,249.464074512123,3.492755765819042
Scotland,2019-06-01,2019,5411200,121525.0,13900.0,203.0,88.56202427484057,2245.80499704317,256.87463039621525,3.751478415138971
Scotland,2019-07-01,2019,5411200,123003.0,12788.0,245.0,89.60350560555433,2273.1187167356593,236.32465996451805,4.527646363098758
Scotland,2019-08-01,2019,5411200,124645.0,13963.0,352.0,88.79778571142043,2303.4631874630395,258.03888231815495,6.505026611472502
Scotland,2019-09-01,2019,5411200,124558.0,15526.0,315.0,87.53512419916825,2301.855410999409,286.9234180958013,5.821259609698403
Scotland,2019-10-01,2019,5411200,121590.0,17064.0,559.0,85.9659511472983,2247.0062093435836,315.3459491425192,10.330425783560024
Scotland,2019-11-01,2019,5411200,119054.0,19609.0,885.0,83.5293228282964,2200.1404494382023,362.3780307510349,16.354967474866942
Scotland,2019-12-01,2019,5411200,118600.0,21817.0,1032.0,81.60455311973018,2191.750443524542,403.18228858663514,19.071555292726195
Scotland,2020-01-01,2020,5408900,114935.0,17990.0,1061.0,84.34767477269762,2124.923736804156,332.59997411673356,19.615818373421583
